gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,ni,pi,txpd,costat,ggroup
005518,12/31/2013,2013,INDL,C,D,STD,USD,286.1980,351.8220,88.1890,A,2520
005518,12/31/2014,2014,INDL,C,D,STD,USD,415.9300,539.9880,182.1580,A,2520
005518,12/31/2015,2015,INDL,C,D,STD,USD,451.8380,603.9150,144.1370,A,2520
005518,12/31/2016,2016,INDL,C,D,STD,USD,551.3800,692.4890,98.9130,A,2520
005518,12/31/2017,2017,INDL,C,D,STD,USD,396.6070,786.1500,115.7530,A,2520
005518,12/31/2018,2018,INDL,C,D,STD,USD,220.4340,270.4020,117.8540,A,2520
005518,12/31/2019,2019,INDL,C,D,STD,USD,520.4540,594.2100,103.1490,A,2520
005518,12/31/2020,2020,INDL,C,D,STD,USD,222.5190,322.0620,81.5730,A,2520
005572,02/29/2000,1999,INDL,C,D,STD,USD,13.1110,13.0970,1.1770,A,2520
005572,02/28/2001,2000,INDL,C,D,STD,USD,17.3320,20.8900,1.0150,A,2520
005572,02/28/2002,2001,INDL,C,D,STD,USD,29.2150,38.5470,5.7760,A,2520
005572,02/28/2003,2002,INDL,C,D,STD,USD,38.7160,50.7460,10.0680,A,2520
005572,02/29/2004,2003,INDL,C,D,STD,USD,60.5220,86.0390,2.3190,A,2520
005572,02/28/2005,2004,INDL,C,D,STD,USD,76.4500,89.5790,4.3950,A,2520
005572,02/28/2006,2005,INDL,C,D,STD,USD,49.3100,55.8020,4.0620,A,2520
005572,02/28/2007,2006,INDL,C,D,STD,USD,50.0870,55.1470,7.9350,A,2520
005572,02/29/2008,2007,INDL,C,D,STD,USD,61.5090,61.2730,24.6920,A,2520
005572,02/28/2009,2008,INDL,C,D,STD,USD,-56.7930,-51.4650,7.6420,A,2520
005572,02/28/2010,2009,INDL,C,D,STD,USD,71.8170,80.1050,-2.9130,A,2520
005572,02/28/2011,2010,INDL,C,D,STD,USD,93.3050,102.6280,11.2260,A,2520
005572,02/29/2012,2011,INDL,C,D,STD,USD,110.3740,126.0920,-0.7970,A,2520
005572,02/28/2013,2012,INDL,C,D,STD,USD,115.6660,135.5140,26.4490,A,2520
005572,02/28/2014,2013,INDL,C,D,STD,USD,86.2480,107.1340,31.2890,A,2520
005572,02/28/2015,2014,INDL,C,D,STD,USD,131.1640,147.2140,16.5910,A,2520
005572,02/29/2016,2015,INDL,C,D,STD,USD,101.2280,119.8180,15.9500,A,2520
005572,02/28/2017,2016,INDL,C,D,STD,USD,140.6890,149.8890,20.7360,A,2520
005572,02/28/2018,2017,INDL,C,D,STD,USD,44.4460,155.4380,6.0810,A,2520
005572,02/28/2019,2018,INDL,C,D,STD,USD,168.5450,188.0000,4.2770,A,2520
005572,02/29/2020,2019,INDL,C,D,STD,USD,152.3330,165.9400,23.2790,A,2520
005572,02/28/2021,2020,INDL,C,D,STD,USD,253.9460,269.4300,19.6920,A,2520
005750,10/31/2000,2000,INDL,C,D,STD,USD,33.1630,51.8180,12.8580,A,2520
005750,10/31/2001,2001,INDL,C,D,STD,USD,63.6860,106.3540,45.4980,A,2520
005750,10/31/2002,2002,INDL,C,D,STD,USD,137.6960,226.6250,85.2030,A,2520
005750,10/31/2003,2003,INDL,C,D,STD,USD,257.3800,411.5180,152.5320,A,2520
005750,10/31/2004,2004,INDL,C,D,STD,USD,348.6810,549.7720,150.2600,A,2520
005750,10/31/2005,2005,INDL,C,D,STD,USD,471.8470,780.5850,352.5180,A,2520
005750,10/31/2006,2006,INDL,C,D,STD,USD,149.5330,233.1060,298.0050,A,2520
005750,10/31/2007,2007,INDL,C,D,STD,USD,-627.1190,-646.9660,-64.4920,A,2520
005750,10/31/2008,2008,INDL,C,D,STD,USD,-1124.5900,-1168.0480,-98.1760,A,2520
005750,10/31/2009,2009,INDL,C,D,STD,USD,-716.7120,-672.0190,-145.4430,A,2520
005750,10/31/2010,2010,INDL,C,D,STD,USD,2.5880,-295.2820,-253.4250,A,2520
005750,10/31/2011,2011,INDL,C,D,STD,USD,-286.0870,-291.5880,-28.0080,A,2520
005750,10/31/2012,2012,INDL,C,D,STD,USD,-66.1970,-101.2480,-0.1030,A,2520
005750,10/31/2013,2013,INDL,C,D,STD,USD,31.2950,21.9350,-5.7800,A,2520
005750,10/31/2014,2014,INDL,C,D,STD,USD,307.1440,20.1800,0.5380,A,2520
005750,10/31/2015,2015,INDL,C,D,STD,USD,-16.1000,-21.7650,1.7790,A,2520
005750,10/31/2016,2016,INDL,C,D,STD,USD,-2.8190,2.4360,-1.3900,A,2520
005750,10/31/2017,2017,INDL,C,D,STD,USD,-332.1930,-45.2440,1.0890,A,2520
005750,10/31/2018,2018,INDL,C,D,STD,USD,4.5200,8.1460,2.5200,A,2520
005750,10/31/2019,2019,INDL,C,D,STD,USD,-42.1170,-39.6680,3.4830,A,2520
005750,10/31/2020,2020,INDL,C,D,STD,USD,50.9280,55.4030,3.0130,A,2520
005750,10/31/2021,2021,INDL,C,D,STD,USD,607.8170,189.8610,7.6690,A,2520
006497,06/30/2000,2000,INDL,C,D,STD,USD,4.9530,7.9720,3.2910,A,2520
006497,06/30/2001,2001,INDL,C,D,STD,USD,5.6880,9.2060,3.6750,A,2520
006497,06/30/2002,2002,INDL,C,D,STD,USD,5.0410,8.2010,2.5030,A,2520
006497,06/30/2003,2003,INDL,C,D,STD,USD,4.5210,7.4410,3.3320,A,2520
