,gvkey,acominc,act,ap,at,ch,citotal,cshpri,dltt,dvt,ebit,ebitda,gp,icapt,invt,lt,opeps,revt,seq,txdi,txp,txt,sic,ni,pi,txpd,prev_ni,prev2_ni,prev3_ni,t90ret,b5ret,cpiret,SNP500,SNP500_CD
2003,25340,0.0,0.0,1149.0,7279.0,582.0,616.0,148.0,2665.0,40.0,1006.0,1048.0,1964.0,5832.0,5567.0,4112.0,4.0,8728.0,3031.0,-22.0,0.0,382.0,1531,975.0,1008.0,324.0,625.0,404.0,257.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,25923,-1.0,92.0,10.0,164.0,2.0,11.0,6.0,15.0,1.0,26.0,31.0,67.0,118.0,54.0,61.0,2.0,260.0,102.0,-1.0,0.0,8.0,9995,20.0,23.0,9.0,15.0,12.0,8.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,27760,3.0,214.0,34.0,311.0,72.0,15.0,32.0,0.0,13.0,51.0,64.0,250.0,226.0,53.0,85.0,1.0,498.0,226.0,-1.0,8.0,19.0,3949,29.0,53.0,16.0,34.0,97.0,66.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,27776,-2.0,62.0,2.0,86.0,2.0,4.0,4.0,17.0,0.0,9.0,13.0,36.0,75.0,38.0,27.0,1.0,106.0,58.0,-1.0,1.0,2.0,3140,8.0,8.0,0.0,6.0,2.0,1.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,27828,0.0,113.0,13.0,126.0,58.0,6.0,13.0,0.0,0.0,8.0,11.0,49.0,95.0,19.0,30.0,0.0,120.0,95.0,-1.0,4.0,3.0,3651,9.0,9.0,1.0,6.0,5.0,11.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,28118,20.0,439.0,27.0,587.0,158.0,44.0,46.0,0.0,0.0,110.0,129.0,420.0,428.0,126.0,158.0,1.0,781.0,423.0,13.0,25.0,41.0,3873,90.0,112.0,24.0,68.0,58.0,43.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,28262,0.0,482.0,101.0,872.0,80.0,-44.0,54.0,5.0,22.0,53.0,87.0,362.0,655.0,122.0,222.0,0.0,969.0,648.0,1.0,5.0,10.0,2510,24.0,57.0,31.0,46.0,95.0,67.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,28462,-26.0,196.0,40.0,551.0,2.0,2.0,13.0,230.0,5.0,42.0,68.0,136.0,370.0,125.0,411.0,2.0,518.0,139.0,-2.0,0.0,5.0,3220,8.0,34.0,8.0,29.0,28.0,39.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,29015,0.0,46.0,11.0,121.0,6.0,12.0,9.0,26.0,0.0,18.0,20.0,53.0,97.0,18.0,50.0,0.0,121.0,70.0,1.0,3.0,5.0,3100,25.0,14.0,1.0,9.0,-8.0,1.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,29382,-1.0,121.0,11.0,177.0,53.0,5.0,12.0,0.0,0.0,33.0,38.0,133.0,159.0,23.0,18.0,1.0,332.0,159.0,-2.0,0.0,14.0,3140,12.0,35.0,18.0,20.0,19.0,12.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,29755,-4.0,0.0,125.0,2212.0,73.0,119.0,12.0,741.0,0.0,286.0,295.0,652.0,1735.0,1723.0,1218.0,13.0,3177.0,993.0,-11.0,0.0,112.0,1531,235.0,285.0,77.0,172.0,122.0,74.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,30964,0.0,36.0,8.0,38.0,0.0,-1.0,8.0,0.0,0.0,1.0,2.0,23.0,17.0,25.0,21.0,0.0,95.0,17.0,-2.0,3.0,0.0,3651,-23.0,1.0,0.0,1.0,8.0,4.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,61212,0.0,35.0,8.0,50.0,0.0,-2.0,19.0,16.0,0.0,-15.0,-8.0,36.0,17.0,18.0,49.0,-1.0,130.0,0.0,1.0,1.0,-2.0,3663,-3.0,-17.0,-5.0,-22.0,-38.0,-6.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,62262,0.0,6.0,1.0,7.0,2.0,4.0,5.0,0.0,0.0,1.0,1.0,6.0,5.0,0.0,1.0,0.0,18.0,5.0,-1.0,0.0,-1.0,3100,1.0,1.0,0.0,1.0,0.0,-2.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
