gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,fyr,fdate,acominc,act,ap,at,ch,citotal,cshpri,dltt,dvpd,dvt,ebit,ebitda,gld,gleps,glp,gp,icapt,invt,lt,opeps,opiti,revt,seq,teq,tii,txdba,txdbca,txdbcl,txdi,txp,txt,uopi,costat,ggroup,sic,spcindcd,spcseccd
002820,03/31/2006,2005,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,,0.0000,89.0320,6.2690,168.7220,15.1220,15.0490,6.3180,0.0000,,0.0000,21.9930,22.9160,,,,39.2830,125.0290,12.1320,43.6930,2.3400,,189.5030,125.0290,125.0290,,0.0000,4.0400,0.0000,,0.0000,8.6750,,A,2520,2452,305,976
002820,03/31/2007,2006,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,06/13/2007,0.0000,91.9890,2.8680,172.1370,12.9760,11.5490,6.3630,0.0000,,0.0000,14.9900,15.6820,,,,30.9930,138.0920,13.4640,34.0450,1.7900,,169.1140,138.0920,138.0920,,0.0000,3.9300,0.0000,,0.0000,5.9620,,A,2520,2452,305,976
002820,03/31/2008,2007,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,07/14/2008,0.0000,101.1980,2.1470,181.2500,73.6100,6.3120,6.4270,0.0000,,0.0000,6.5510,7.3360,,,,21.1610,146.3510,11.2930,34.8990,0.9800,,141.9140,146.3510,146.3510,,0.0000,4.0330,0.0000,1.8840,0.0000,2.7780,,A,2520,2452,305,976
002820,03/31/2009,2008,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,06/15/2009,0.0000,98.4260,0.7390,178.6310,70.5570,0.4580,6.4880,0.0000,,0.0000,-0.4420,0.3750,,,,11.5880,148.0400,9.3330,30.5910,0.0700,,105.3620,148.0400,,,0.0000,3.4340,0.0000,1.9510,0.0000,-0.1360,,A,2520,2452,305,976
002820,03/31/2010,2009,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,05/26/2010,0.0000,112.9120,5.3750,232.3420,74.9880,-3.3710,6.5170,0.0000,,0.0000,-5.2490,-4.0450,,,,11.9010,180.3540,15.7510,51.9880,-0.4400,,115.6120,145.7760,180.3540,,0.0000,6.2400,0.0000,1.4420,0.0000,-2.0060,,A,2520,2452,305,976
002820,03/31/2011,2010,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,06/08/2011,0.0000,146.8310,3.4950,269.4420,76.5130,2.8310,6.6370,0.0000,,0.0000,3.2050,4.5620,,,,25.6350,186.4880,16.0360,82.9540,0.4400,,171.8270,150.6690,150.6690,,0.0000,4.7200,0.0000,-0.9600,0.7070,0.8890,,A,2520,2452,305,976
002820,03/31/2012,2011,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,06/18/2012,0.0580,169.0320,11.7320,437.3340,41.0940,15.2950,6.8770,80.7470,,0.0000,17.0240,22.5800,,,,101.5010,335.6310,62.2460,182.4500,-0.9000,,443.0660,168.3430,168.3430,,4.7700,6.6570,0.0000,-2.3800,3.7010,2.4990,,A,2520,2452,305,976
002820,03/31/2013,2012,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,06/12/2013,0.1770,194.3820,14.1180,444.4990,47.8230,5.0820,6.9570,72.1180,,0.0000,21.0420,25.0520,,,,104.3650,341.0020,68.8050,175.6150,0.7100,,452.3000,176.8900,176.8900,,2.7420,6.7240,0.0000,2.1330,2.0060,6.3510,,A,2520,2452,305,976
002820,03/31/2014,2013,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,06/17/2014,0.4360,227.8460,15.2870,469.2390,72.9490,16.3960,8.2630,59.8650,,0.0000,31.5450,35.5450,,,,123.4830,350.2980,69.7290,178.8060,1.9600,,533.3390,290.4330,290.4330,,0.0000,12.3130,0.0000,0.5560,0.0000,9.0990,,A,2520,2452,305,976
002820,03/31/2015,2014,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,3,06/18/2015,0.5040,265.4640,17.8050,502.5820,96.5970,23.8850,8.8540,60.3700,,0.0000,38.4770,42.2340,0.1000,0.1000,1.3870,129.8930,380.5240,75.3340,182.4280,2.5900,,566.6590,320.1540,320.1540,,0.0000,8.5730,0.0000,4.3510,1.0890,13.5100,,A,2520,2452,305,976
